Name,Page,School,Level,Casting Time,Range,Componants,Duration,Body
Dispel Magic,234,Abjuration,3,1 action,120,vs,Instantaneous,"Choose one creature, object, or magical effect within range. Any spell of 3rd levei or lower on the target ends. For each spell of 4th levei or higher on the target. make an ability check using your spellcasting ability. The DC equals 10 + the spell's leveI. On a successful check, the spell ends. At Higher LeveIs. When you cast this spell using a spell slot of 4th level or higher, you automatically end the effec!s of a spell on the target if the spell's levei is equal to or less than the levei of the spell slot you used"
Dissonant Whispers,234,Enchanment,1,1 action,60,v,Instantaneous,"You whisper a discordam melody that only one creature of your choice within range can hear, wracking it with terrible pain. The target must make a Wisdom saving throw. On a failed save, it takes 3d6 psychic damage and must immediately use its reaction, if available, to move as far as its speed allows away from you. The creature doesn't Inove into obviously dangerous ground, such as a fire or a pit. On a successful save, the target takes half as much damage and doesn't have to move away. A deafened creature automatically succeeds on the save. At Higher LeveIs. When you cast this spell using a spell slot of 2nd level or higher. the damage increases by Id6 for each slot levei above 1st."
Divination,234,Divination (ritual),4,1 action,Self,"vsm(incense and a sacrificial offering appropriate to your religion, together worth at least 25 gp, which the spell consumes)",Instantaneous,"Your magic and an offering put you in contact with a god or a god's servants. You ask a single question concerning a speeific goal, event, or activity to occur within 7 days. The DM offers a truthful reply. The reply might be a short phrase, a cryptic rhyme, or an omen. The spell doesn't take into account any possible circumstances that might change the outcome, such as the casting of additional spells or the loss or gain of a companion. If you cast the spell two or more times before finishing your next long rest, there is a cumulative 25 percent chance for each casting after the first that you get a random reading. The DM makes this roll in secret."
Divine Favor,234,Evocation,1,1 bonus action,self,vs,1 minute C,"Your prayer empowers you with divine radiance. Until the spell ends, your weapon attacks deal an extra 1d4 radiant damage on a hit."
Divine Word,234,Evocation,7,1 bonus action,30,v,Instantaneous,"You utter a divine word, imbued with the power thar shaped the world at the dawn of ereation. Choose any number of creatures you can see within range. Each creature that can hear you must make a Charisma saving throw. On a failed save, a creature suffers an effect based on its current hit points: 50 hit points or fewer: deafened for 1 minute 40 hit points or fewer: deafened and blinded for 10 minutes 30 hit points ar fewer: blinded, deafened, and stunned for 1 hour 20 hit points or fewer: killed instantly Regardless of its current hit points, a celestial, an elemental, a fey. or a fiend that fails its save is forced back to its plane of origin (if it isn't there already) and can't return to your current plane for 24 hours byany means short of a wish spell."
Dominate Beast,234,Enchantment,4,1 action,60,vs,1 minute C,"You attempt to beguile a beast that you can see within range. lt must succeed on a Wisdom saving thraw or be charmed by you for the duration. if you or creatures that are friendly to you are fighting it, it has advantage on the saving thraw. While the beast is charmed, you have a telepathic link with it as long as the two of you are on the same plane of existence. You can use this telepathic link to issue commands to the creature while you are conscious (no action required), which it does its best to obey. You can specifya simple and general course of action, such as ""Attack that creature."" ""Run over there,"" or ""Fetch that objec!."" If the creature completes the order and doesn't receive further direction from you, it defends and preserves itself to the best of its ability. You can use your action to take total and precise contraI of the targe!. Until the end of your next turn, the creature takes only the actions you choose, and doesn't do anything that you don't allow it to do. During this time, you can also cause the creature to use a reaction, but this requires you to use your own reaction as well. Each time the target takes damage, it makes a new Wisdom saving thraw against the spell. if the saving throw succeeds, the spell ends. At Higher Leve/s. When you cast this spell with a 5th.level spell slot, the duration is concentration, up to 10 minutes. When you use a 6th.level spell slot, the duration is concentration, up to I hour. When you use a spell slot of 7th levei or higher, the duration is concentration, up to 8 hours."
Dominate Monster,235,Enchantment,8,1 action,60,vs,1 hour C,"Vou attempt to beguile a creature that you can see within range. lt must succeed on a Wisdom saving throw or be charmed by you for the duration. If you or creatures that are friendly to you are fighting it, it has advantage on the saving throw. While the creature is charmed, you have a telepathic link with it as long as the two of you are on the same plane of existence. Vou can use this telepathic link to issue commands to the creature while you are conscious (no action required), which it does its best to obey. Vou can specify a simple and general course of action, such as ""Attack that creature,"" ""Run over there,"" or ""Fetch that object."" If the creature completes the order and doesn't receive further direction from you, it defends and preserves itself to the best of its ability. Vou can use your action to take total and precise contraI of the targe!. Until the end of your next turn, the creature takes only the actions you choose, and doesn't do anything that you don't allow it to do. During this time, you can also cause the creature to use a reaction, but this requires you to use your own reaction as well. Each time the target takes damage, it makes a new Wisdom saving throw against the spell. If the saving throw succeeds, the spell ends. At Higher Leve/s. When you cast this spell with a 9th.level spell slot, the duration is concentration, up to 8 hours."
Dominate Person,235,Enchantment,5,1 action,60,vs,1 minute C,"Vou attempt to beguile a humanoid that you can see within range. lt must succeed on a Wisdom saving throw or be charmed by you for the duration. If you or creatures that are friendly to you are fighting it, it has advantage on the saving throw. While the target is charmed, you have a telepathic link with it as long as the two of you are on the same plane of existence. Vou can use this telepathic link to issue commands to the creature while you are conscious (no action required), which it does its best to obey. Vou can specify a simple and general course of action, such as ""Attack that creature,"" ""Run over there,"" or ""Fetch that object."" If the creature completes the order and doesn't receive further direction from you, it defends and preserves itself to the best of its ability. Vou can use your action to take total and precise contrai of the targe!. Until the end of your next turn, the creature takes only the actions you choose, and doesn't do anything that you don't allow it to do. During this time you can also cause the creature to use a reaction, but this requires you to use your own reaction as well. Each time the target takes damage, it makes a new Wisdom saving throw against the spell. If the saving throw succeeds, the spell ends. At Higher Leve/s. When you cast this spell using a 6th.level spell slot, the duration is concentration, up to 10 minutes. When you use a 7th.level spell slot, the duration is concentration, up to I hour. When you use a spell slot of 8th levei or higher, the duration is concentration, up to 8 hours."
Drawmij's Instant Summons,235,Conjuration (ritual),6,1 minute,Touch,"vsm(a sapphire worth 1,000 gp)",Until dispelled,"Vou touch an object weighing 10 pounds or less whose longest dimension is 6 feet or less. The spellleaves an invisible mark on its surface and invisibly inscribes the na me of the item on the sapphire you use as the material componen!. Each time you cast this spell, you must use a different sapphire. At any time thereafter, you can use your action to speak the item's name and crush the sapphire. The item instantly appears in your hand regardless of physical or planar distances, and the spell ends. if another creature is holding or carrying the item, crushing the sapphire doesn't transport the item to you, but instead you learn who the creature possessing the object is and roughly where that creature is located at that moment. Dispel magic or a similar effect successfully applied to the sapphire ends this spell's effect"
Dream,236,Illusion,5,1 minute,Special,"vsm(a handful of sand, a dab of ink, and a writing quill plucked from a sleeping bird)",8 Hours,"This spell shapes a creature's dreams. Choose a creature known to you as the target of this spell. The target must be on the same plane of existence as you. Creatures that don't sleep, such as elves, can't be contacted by this spell. Vou, or a willing creature you touch, enlers a trance state, acting as a messenger. While in the trance, the messenger is aware of his or her surroundings, but can't take actions or move. If the target is asleep, the messenger appears in the target's dreams and can converse with the target as long as it remains asleep, through the duration of the spell. The messenger can also shape the environment of the dream, creating landscapes. objects, and other images. The messenger can emerge from the trance at any time, ending the effect of the spell early. The target recalls the dream perfectly upon waking. If the target is awake when you cast the spell, the messenger knows it, and can either end the trance (and the spell) or wait for the target to fali asleep, at which point the messenger appears in the target's dreams. Vou can make the messenger appear monstrous and terrifying to the target. If you do, the messenger can deliver a message of no more than ten words and then the target must make a Wisdom saving throw. On a failed save, echoes of the phantasmal monstrosity spawn a nightmare that lasts the duration of the target's sleep and prevents the target from gaining any benefit from that rest. In addition, when the target wakes up, it takes 3d6 psychic damage. If you have a body part, lock of hair, c1ipping from a nail, or similar portion of the target's body, the target makes its saving throw with disadvantage"
Druidcraft,236,Transmutation,0,1 action,30,vs,Instantaneous,"Whispering to the spirits of nature, you create one of the following effects within range: Vou create a tiny, harmless sensory effect that predicts what the weather will be at your location for the next 24 hours. The effect might manifest as a golden orb for c1ear skies, a cloud for rain, falling snowflakes for snow, and so on. This effect persists for I round. Vou instantly make a flower blossom, a seed pod open, or a leaf bud bloom. Vou create an instantaneous, harmless sensory effect, such as falling leaves, a puff of wind, the sound of a small animal, or the faint odor of skunk. The effect must fit in a 5-foot cube. Vou instantly light or snuff out a candle, a torch, or a small campfire."
Earthquake,236,Evocation,8,1 action,500,"vsm(a pinch of dirt, a piece of rock, and a lump of clay)",1 minute C,"Vou create a seismic disturbance at a point on the ground that you can see within range. For the duration, an intense tremor rips through the ground in a 100-foot-radius circ1e centered on that point and shakes creatures and structures in contact with the ground in that area. The ground in the area becomes difficult terrain. Each creature on the ground that is concentrating must make a Constitution saving throw. On a failed save, the creature's concentration is broken. When you cast this spell and at the end of each turn you spend concentrating on it, each creature on the ground in the area must make a Dexterity saving throw. On a failed save, the creature is knocked prone. This spell can have additional effects depending on the terra in in the area, as determined by the DM. Fissures. Fissures open throughout the spell's area at the start of your next turn after you cast the spell. A total of Id6 such fissures open in locations chosen by the DM. Each is IdlO x 10 feet deep, la feet wide, and extends from one edge of the spell's area to the opposite side. A creature standing on a spot where a fissure opens must succeed on a Dexterity saving throw or fali in. A creature that sllccessfully saves moves with the fissure's edge as it opens. A fissure that opens beneath a structure causes it to automatically collapse (see below). Structures. The tremor deals 50 bludgeoning damage to any structure in contact with the ground in the area when you cast the spell and at the start of each of your turns until the spell ends. ]f a structure drops to Ohit points, it collapses and potentially damages nearby creatures. A crealure within half the distance of a structure's height must make a Dexterity saving throw. On a failed save, the creature takes 5d6 bludgeoning damage, is knocked prone, and is buried in the rubble, requiring a DC 20 Strength (Athletics) check as an action to escape. The DM can adjust the DC higher or lower, depending on the nalure of the rubble. On a successful save, the creature takes half as much damage and doesn't fali prone or become buried."
Eldritch Blast,237,Evocation,0,1 action,120,vs,Instantaneous,"A beam of crackling energy streaks toward a creature within range. Make a ranged spell attack against the target. On a hit, the target takes ldlO force damage. The spell creates more than one beam when you reach higher leveis: two beams at 5th levei, three beams at 11th levei, and four beams at 17th leveI. Vou can direct the beams at the same target or at different ones. Make a separate attack roll for each beam."
Elemental Weapon,237,Transmutation,3,1 action,Touch,vs,1 hour C,"A nonmagical weapon you touch becomes a magic weapon. Choose one of the following damage types: acid, cold, tire, Iightning, or thunder. For the duration, the weapon has a +1 bonus to attack rolls and deals an extra ld4 damage of the chosen type when it hits. At Higher LeveIs. When you cast this spell using a spell slot of 5th or 6th leveI.the bonus to attack rolls increases to +2 and the extra damage increases to 2d4. When you use a spell slot of 7th levei ar higher, the bonus increases to +3 and the extra damage increases to 3d4."
Enhance Ability,237,Transmutation,2,1 action,Touch,vsm(fur or a feather from a beast),1 hour C,"Vou touch a creature and bestow upon it a magical enhancement. Choose one of the following effects; the target gains that effect until the spell ends. Bear's Endurance. The target has advantage on Constitution checks. lt also gains 2d6 temporary hit points, which are lost when the spell ends. BulJ's Strength. The target has advantage on 5trength checks, and his or her carrying capacity doubles. Cat's Grace. The target has advantage on Dexterity checks. lt also doesn't take damage from falling 20 feet or less if it isn't incapacitated. Eagle's Splendor. The target has advantage on Charisma checks. Fox's Cunning. The target has advantage on Intelligence checks. Owl's Wisdom. The target has advantage on Wisdom checks. At Higher LeveIs. When you cast this spell using a spell slot of 3rd leveI or higher, you can target one additional creature for each slot leveI above 2nd"
Enlarge/Reduce,237,Transmutation,2,1 action,30,vsm(a pinch of powdered iron),1 hour C,"Vou cause a creature or an object you can see within range to grow larger or smaller for the duration. Choose either a creature ar an object that is neither worn nor carried. If the target is unwilling, it can make a Constitution saving throw. On a success, the spell has no effect. If the target is a creature, everything it is wearing and carrying changes size with it. Any item dropped byan affected creature returns to normal size at once. Enlarge. The target's size doubles in ali dimensions, and its weight is multiplied by eight. This growth increases its size by one category-from Medium to Large, for example. If there isn't enough room for the target to double its size. the creature or object attains the maximum possible size in the space available. Until the spell ends, the target also has advantage on 5trength checks and 5trength saving throws. The target's weapons also grow to match its new size. While these weapons are enlarged, the target's attacks with them deal ld4 extra damage. Reduce. The target's size is halved in ali dimensions, and its weight is reduced to one-eighth of normal. This reduction decreases its size by one category-from Medium to 5mall, for example. Until the spell ends, the target also has disadvantage on 5trength checks and 5trength saving throws. The target's weapons also shrink to match its new size. While these weapons are reduced, the target's attacks with them deal ld4 less damage (this can't reduce the damage below 1)."
Ensaring Strike,237,Conjuration,1,1 action,Self,v,1 minute C,"The next time you hit a creature with a weapon attack before this spell ends, a writhing mass of thorny vines appears at the point of impact, and the target must succeed on a 5trength saving throw ar be restrained by the magical vines until the spell ends. A Large ar larger creature has advantage on this saving throw. If the target succeeds on the save, the vines shrivel away. While restrained by this spell, the target takes ld6 piercing damage at the start of each of its turns. Acreature restrained by the vines or one lhat can touch the creature can use its action to make a 5trength check against your spell save De. On a success, the target is freed. At Higher LeveIs. Ifyou cast this spell using a spell slot of 2nd levei or higher, the damage increases by ld6 for each slot levei above 1sI."
Entangle ,238,Conjuration,1,1 action,90,vs,1 minute C,"Grasping weeds and vines sprout fram the ground in a 20-foot square starting from a point within range. For the duration, these plants turo the ground in the area into difficult terrain. A creature in the area when you cast the spell must succeed on a Strength saving throw ar be restrained by the entangling plants until the spell ends. A creature restrained by the plants can use its action to make a Strength check against your spell save De. On a success, it frees itself. When the spell ends, the conjured plants wilt away"
Enthrall,238,Enchantment,2,1 action,60,vs,1 minute,"Vou weave a distracting string of words, causing creatllres ofyour choice that you can see within range and that can hear you to make a Wisdom saving throw. Any creature that can't be charmed succeeds on this saving throw automatically, and if you or YOllr companions are fighting a creature, it has advantage on the save. On a failed save, the target has disadvantage on Wisdom (Perception) checks made to perceive any creature other than you until the spell ends or until the target can no longer hear YOll.The spell ends if you are incapacitated or can no longer speak."
Etherealness,238,Transmutation,7,1 action,Self,vs,8 Hours,"Vou step into the border regions of the Ethereal Plane, in the area where it overlaps with your current plane. Vou remain in the Border Ethereal for the duration or until you use your action to dismiss the spell. During this time, you can move in any direction. If you move up or down, every foot of movement costs an extra fool. Vou can see and hear the plane YOlloriginated from, but everything there looks gray, and you can't see anything more than 60 feet away. While on the Ethereal Plane, you can only affect and be affected by other crealures on thal plane. Creatures that aren't on the Elhereal Plane can't perceive you and can't interact with you, unless a special ability ar magic has given them the ability to do so. You ignore ali objects and effects lhat aren't on the Ethereal Plane, allowing you to move through objects you perceive on the plane you originated from. PART 3 I SPELLS When the spell ends, you immediately returo to the plane you originated from in lhe spot you currently occupy. If you occupy the same spot as a solid object or creature when this happens, you are immediately shunted to the nearest unoccupied space that you can occupy and take force damage equal to twice lhe number of feet you are moved. This spell has no effect if you cast il while you are on the Ethereal Plane or a plane that doesn't border it, such as one of the Outer Planes. At Higher Leve1s. When you cast this spell using a spell slol of 81h leveI or higher, you can target up to three willing crealures (including you) for each slot levei above 7th. The creatures musl be within 10 feet of you when you cast the spell."
Evard's Black Tentacles,,,,,,,,
Expeditions Retreat,,,,,,,,
Eyebite,,,,,,,,
Fabricate,,,,,,,,
Faerie Fire,,,,,,,,
False Life,,,,,,,,
Fear,,,,,,,,
Feather Fall,,,,,,,,
Feeblemind,,,,,,,,
Feign Death,,,,,,,,
Find Familiar,,,,,,,,
Find Steed,,,,,,,,
Find the Path,,,,,,,,
Find Traps,,,,,,,,
Finger of Death,,,,,,,,
Fireball,,,,,,,,
Firebolt,,,,,,,,
Fire Shield,,,,,,,,
Fire Storm,,,,,,,,
Flame Blade,,,,,,,,
Flame Strike,,,,,,,,
Flaming Sphere,,,,,,,,
Flesh to Stone,,,,,,,,
Fly,,,,,,,,
Fog Cloud,,,,,,,,
Forbiddance,,,,,,,,
Forcecage,,,,,,,,
Foresight,,,,,,,,
Freedom of Movement,,,,,,,,
Friends,,,,,,,,
Gaseous Form,,,,,,,,
Gate,,,,,,,,
Geas,,,,,,,,
Gentle Repose,,,,,,,,
Giant Insect,,,,,,,,
Glibness,,,,,,,,
Globe of Invulnerability,,,,,,,,
Glyph of Warding,,,,,,,,
Goodberry,,,,,,,,
Grasping Vine,,,,,,,,
Grease,,,,,,,,
Greater Invisibility,,,,,,,,
Greater Restoration,,,,,,,,
Guardian of Faith,,,,,,,,
Guards and Wards,,,,,,,,
Guidance,,,,,,,,
Guiding Bolt,,,,,,,,
Gust of Wind,,,,,,,,
Hail of Thorns,,,,,,,,
Hallow,,,,,,,,
Hallucinatory Terrain,,,,,,,,
Harm,,,,,,,,
Haste,,,,,,,,
Heal,,,,,,,,
Healing Word,,,,,,,,
Heat Metal,,,,,,,,
Hellish Rebuke,,,,,,,,
Heros' Feast,,,,,,,,
Heroism,,,,,,,,
Hex,,,,,,,,
Hold Monster,,,,,,,,
Hold Person,,,,,,,,
Holy Aura,,,,,,,,
Hunber of Hadar,,,,,,,,
Hunter's Mark,,,,,,,,
Hypnotic Pattern,,,,,,,,
Ice Storm,,,,,,,,
Identify,,,,,,,,
Illusory Script,,,,,,,,
Imprisonment,,,,,,,,
Incendiary Cloud,,,,,,,,
Inflict Wounds,,,,,,,,
Insect Plague,,,,,,,,
Invisibility,,,,,,,,
Jump,,,,,,,,
Knock,,,,,,,,
Legend Lore,,,,,,,,
Leomund's Secret Chest,,,,,,,,
Leomund's Tiny Hut,,,,,,,,
Lesser Restoration,,,,,,,,
Levitate,,,,,,,,
Light,,,,,,,,
Lightning Arrow,,,,,,,,
Lightning Bolt,,,,,,,,
Locate Animals or Plants,,,,,,,,
Locate Creature,,,,,,,,
Locate Object,,,,,,,,
Longstrider,,,,,,,,
Mage Armor,,,,,,,,
Mage Hand,,,,,,,,
Magic Circle,,,,,,,,
Magic Jar,,,,,,,,
Magic Missile,,,,,,,,
Magic Mouth,,,,,,,,
Magic Weapon,,,,,,,,
Major Image,,,,,,,,
Mass Cure Wounds,,,,,,,,
Mass Heal,,,,,,,,
Mass Healing Word,,,,,,,,
Mass Suggestion,,,,,,,,
Maze,,,,,,,,
Meld to Stone,,,,,,,,
Melf's Acid Arrow,,,,,,,,
Mending,,,,,,,,
Message,,,,,,,,
Meteor Swarm,,,,,,,,
Mind Blank,,,,,,,,
Minor Illusion,,,,,,,,
Mirage Arcane,,,,,,,,
Mirror Image,,,,,,,,
Mislead,,,,,,,,
Misty Step,,,,,,,,
Modify Memory,,,,,,,,
Monnbeam,,,,,,,,
Mordenkainen's Faithful Hound,,,,,,,,
Mordenkainen's Magnificent Mansion,,,,,,,,
Mordenkainen's Private Sanctum,,,,,,,,
Mordenkainen's Sword,,,,,,,,
Move Earth,,,,,,,,
Nondetection,,,,,,,,
Nystul's Magic Aura,,,,,,,,
Otiluke's Freezing Sphere,,,,,,,,
Otiluke's Resilient Sphere,,,,,,,,
Otto's Irresistible Dance,,,,,,,,
Pass Without Trace,,,,,,,,
Passwall,,,,,,,,
Phantasmal Force,,,,,,,,
Phantasmal Killer,,,,,,,,
Phantom Steed,,,,,,,,
Planar Ally,,,,,,,,
Planar Binding,,,,,,,,
Plane Shift,,,,,,,,
Plant Growth,,,,,,,,
Poison Spray,,,,,,,,
Polymorph,,,,,,,,
Power Word Heal,,,,,,,,
Power Word Stun,,,,,,,,
Power Word Kill,,,,,,,,
Prayer of Healing,,,,,,,,
Prestidigitation,,,,,,,,
Prismatic Spray,,,,,,,,
Prismatic Wall,,,,,,,,
Produce Flame,,,,,,,,
Programmed Illusion,,,,,,,,
Project Image,,,,,,,,
Protection from Energy,,,,,,,,
Protection from Evil and Good,,,,,,,,
Protection from Poison,,,,,,,,
Purify Food and Drink,,,,,,,,
Raise Dead,,,,,,,,
Rary's Telepathic Bond,,,,,,,,
Ray of Enfeeblement,,,,,,,,
Ray of Frost,,,,,,,,
Ray of Sickness,,,,,,,,
Regenerate,,,,,,,,
Reincarnate,,,,,,,,
Remove Curse,,,,,,,,
Resistance,,,,,,,,
Resurrection,,,,,,,,
Reverse Gravity,,,,,,,,
Revivify,,,,,,,,
Rope Trick,,,,,,,,
Sacred Flame,,,,,,,,
Sanctuary,,,,,,,,
Scorching Ray,,,,,,,,
Scrying,,,,,,,,
Searing Smite,,,,,,,,
See Invisibility,,,,,,,,
Seeming,,,,,,,,
Sending,,,,,,,,
Sequester,,,,,,,,
Shapechange,,,,,,,,
Shatter,,,,,,,,
Shield,,,,,,,,
Shield of Faith,,,,,,,,
Shillelagh,,,,,,,,
Shocking Grasp,,,,,,,,
Silence,,,,,,,,
Silent Image,,,,,,,,
Simulacrum,,,,,,,,
Sleep,,,,,,,,
Sleet Storm,,,,,,,,
Slow,,,,,,,,
Spare the Dying,,,,,,,,
Speak with Animals,,,,,,,,
Speak with Dead,,,,,,,,
Speak with Plants,,,,,,,,
Spider Climb,,,,,,,,
Spike Growth,,,,,,,,
Spirit Gaurdians,,,,,,,,
Spiritual Weapon,,,,,,,,
Staggering Smite,,,,,,,,
Stinking Cloud,,,,,,,,
Stone Shape,,,,,,,,
Stoneskin,,,,,,,,
Storm of Vengeance,,,,,,,,
Suggestion,,,,,,,,
Sunbeam,,,,,,,,
Sunburst,,,,,,,,
Swift Quiver,,,,,,,,
Symbol,,,,,,,,
Tasha's Hideous Laughter,,,,,,,,
Telekinesis,,,,,,,,
Telepathy,,,,,,,,
Teleport,,,,,,,,
Teleportation Circle,,,,,,,,
Tenser's Floating Disk,,,,,,,,
Thaumaturgy,,,,,,,,
Thorn Whip,,,,,,,,
Thunderous Smite,,,,,,,,
Time Stop,,,,,,,,
Tongues,,,,,,,,
Transport via Plants,,,,,,,,
Tree Stride,,,,,,,,
True Polymorph,,,,,,,,
True Resurrection,,,,,,,,
True Seeing,,,,,,,,
True Strike,,,,,,,,
Tsunami,,,,,,,,
Unseen Servant,,,,,,,,
Vampiric Touch,,,,,,,,
Vicious Mockery,,,,,,,,
Wall of Fire,,,,,,,,
Wall of Force,,,,,,,,
Wall of Ice,,,,,,,,
Wall of Stone,,,,,,,,
Wall of Thorns,,,,,,,,
Warding Bond,,,,,,,,
Water Breathing,,,,,,,,
Water Walk,,,,,,,,
Web,,,,,,,,
Weird,,,,,,,,
Wind Walk,,,,,,,,
Wind Wall,,,,,,,,
Wish,,,,,,,,
Witch Bolt,,,,,,,,
Word Recall,,,,,,,,
Wrathful Smite,,,,,,,,
Zone of Truth,,,,,,,,
